match_id,team_id,player_id
1,1,1
1,1,2
1,1,3
1,1,4
1,1,5
1,1,6
1,1,7
1,1,8
1,1,9
1,1,10
1,1,11
1,2,12
1,2,13
1,2,14
1,2,15
1,2,16
1,2,17
1,2,18
1,2,19
1,2,20
1,2,21
1,2,22
2,4,25
2,4,26
2,4,27
2,4,28
2,4,29
2,4,30
2,4,31
2,4,32
2,4,33
2,4,34
2,4,35
2,3,36
2,3,37
2,3,38
2,3,39
2,3,40
2,3,41
2,3,42
2,3,43
2,3,44
2,3,45
2,3,46
3,5,48
3,5,49
3,5,50
3,5,51
3,5,52
3,5,53
3,5,54
3,5,55
3,5,56
3,5,57
3,5,58
3,6,59
3,6,60
3,6,61
3,6,62
3,6,63
3,6,64
3,6,65
3,6,66
3,6,67
3,6,68
3,6,69
4,7,71
4,7,72
4,7,73
4,7,74
4,7,75
4,7,76
4,7,77
4,7,78
4,7,79
4,7,80
4,7,81
4,8,82
4,8,83
4,8,84
4,8,85
4,8,86
4,8,87
4,8,88
4,8,89
4,8,90
4,8,91
4,8,92
5,5,48
5,5,49
5,5,53
5,5,93
5,5,56
5,5,94
5,5,50
5,5,51
5,5,57
5,5,95
5,5,55
5,7,71
5,7,72
5,7,73
5,7,74
5,7,75
5,7,76
5,7,77
5,7,78
5,7,79
5,7,80
5,7,81
6,3,38
6,3,37
6,3,36
6,3,41
6,3,96
6,3,45
6,3,44
6,3,97
6,3,39
6,3,98
6,3,46
6,8,82
6,8,83
6,8,84
6,8,85
6,8,88
6,8,86
6,8,87
6,8,89
6,8,90
6,8,91
6,8,92
7,6,59
7,6,67
7,6,66
7,6,63
7,6,64
7,6,99
7,6,68
7,6,62
7,6,61
7,6,60
7,6,65
7,4,25
7,4,35
7,4,34
7,4,26
7,4,28
7,4,29
7,4,27
7,4,32
7,4,33
7,4,30
7,4,31
